
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Total,,,,,Ciencias Sociales y Jurídicas,,,,,Ingeniería y Arquitectura,,,,,Artes y Humanidades,,,,,Ciencias de la Salud,,,,,Ciencias,,,,,
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Todas las universidades,
    Total,
            Tiempo Completo,32296.0,33462.0,35302.0,34718.0,36017.0,17948.0,18107.0,19482.0,18574.0,19296.0,3899.0,4392.0,4640.0,4814.0,5030.0,3570.0,3632.0,3662.0,3881.0,3939.0,4686.0,4987.0,5098.0,4952.0,5083.0,2193.0,2344.0,2420.0,2497.0,2669.0,
            Tiempo Parcial,18184.0,19813.0,21197.0,22983.0,23711.0,9317.0,10141.0,10553.0,11915.0,11954.0,2433.0,3125.0,3658.0,3931.0,4229.0,3010.0,3099.0,3059.0,3127.0,3252.0,2654.0,2636.0,2943.0,3015.0,3151.0,770.0,812.0,984.0,995.0,1125.0,
    Centro adscrito,
        Ambos sexos,
            Total,6723.0,8925.0,10177.0,9728.0,10533.0,4723.0,7138.0,8290.0,7765.0,8502.0,292.0,85.0,51.0,79.0,83.0,872.0,875.0,863.0,778.0,728.0,548.0,622.0,627.0,766.0,860.0,288.0,205.0,346.0,340.0,360.0,
            Tiempo Completo,4507.0,6506.0,7132.0,6546.0,6800.0,3074.0,5285.0,6164.0,5451.0,5725.0,173.0,53.0,23.0,61.0,53.0,538.0,554.0,324.0,357.0,255.0,434.0,470.0,489.0,567.0,643.0,288.0,144.0,132.0,110.0,124.0,
            Tiempo Parcial,2216.0,2419.0,3045.0,3182.0,3733.0,1649.0,1853.0,2126.0,2314.0,2777.0,119.0,32.0,28.0,18.0,30.0,334.0,321.0,539.0,421.0,473.0,114.0,152.0,138.0,199.0,217.0,0.0,61.0,214.0,230.0,236.0,
        Hombres,
            Total,3191.0,3997.0,4386.0,4500.0,4781.0,2043.0,3089.0,3419.0,3534.0,3791.0,214.0,50.0,34.0,70.0,80.0,450.0,439.0,410.0,348.0,331.0,258.0,274.0,264.0,289.0,308.0,226.0,145.0,259.0,259.0,271.0,
            Tiempo Completo,2258.0,3012.0,3141.0,3113.0,3149.0,1425.0,2368.0,2646.0,2593.0,2642.0,126.0,33.0,17.0,59.0,52.0,279.0,290.0,163.0,149.0,111.0,202.0,213.0,215.0,232.0,256.0,226.0,108.0,100.0,80.0,88.0,
            Tiempo Parcial,933.0,985.0,1245.0,1387.0,1632.0,618.0,721.0,773.0,941.0,1149.0,88.0,17.0,17.0,11.0,28.0,171.0,149.0,247.0,199.0,220.0,56.0,61.0,49.0,57.0,52.0,0.0,37.0,159.0,179.0,183.0,
        Mujeres,
            Total,3532.0,4928.0,5791.0,5228.0,5752.0,2680.0,4049.0,4871.0,4231.0,4711.0,78.0,35.0,17.0,9.0,3.0,422.0,436.0,453.0,430.0,397.0,290.0,348.0,363.0,477.0,552.0,62.0,60.0,87.0,81.0,89.0,
            Tiempo Completo,2249.0,3494.0,3991.0,3433.0,3651.0,1649.0,2917.0,3518.0,2858.0,3083.0,47.0,20.0,6.0,2.0,1.0,259.0,264.0,161.0,208.0,144.0,232.0,257.0,274.0,335.0,387.0,62.0,36.0,32.0,30.0,36.0,
            Tiempo Parcial,1283.0,1434.0,1800.0,1795.0,2101.0,1031.0,1132.0,1353.0,1373.0,1628.0,31.0,15.0,11.0,7.0,2.0,163.0,172.0,292.0,222.0,253.0,58.0,91.0,89.0,142.0,165.0,0.0,24.0,55.0,51.0,53.0,
    Otras unidades,
        Ambos sexos,
            Total,13766.0,15025.0,16229.0,16315.0,15258.0,6963.0,7716.0,8352.0,8325.0,8100.0,2139.0,2279.0,2447.0,2320.0,1934.0,1684.0,1795.0,2041.0,2337.0,2185.0,1661.0,1759.0,1882.0,1814.0,1684.0,1319.0,1476.0,1507.0,1519.0,1355.0,
            Tiempo Completo,9529.0,10259.0,11159.0,10835.0,9740.0,4768.0,5243.0,5773.0,5457.0,5217.0,1373.0,1347.0,1381.0,1319.0,1006.0,1039.0,1065.0,1318.0,1468.0,1225.0,1394.0,1505.0,1595.0,1507.0,1353.0,955.0,1099.0,1092.0,1084.0,939.0,
