Universidad,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Curso,Tipo_centro,Sexo,Dedicacion,Nivel
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Antonio de Nebrija,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Católica de Valencia San Vicente Mártir,16.0,0.0,0.0,41.0,6.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Católica San Antonio,41.0,7.0,0.0,60.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Deusto,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Europea de Madrid,3.0,0.0,0.0,41.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
IE Universidad,10.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Loyola Andalucía,0.0,0.0,0.0,0.0,6.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
